name           old time/op    new time/op     delta
City64-4        969MB/s ± 1%   1982MB/s ± 0%  +104.62%  (p=0.000 n=24+23)
City1K-4        754MB/s ± 3%   1582MB/s ± 1%  +109.84%  (p=0.000 n=26+28)
City8K-4        798MB/s ± 1%   1737MB/s ± 1%  +117.63%  (p=0.000 n=27+30)
Metro8-4        418MB/s ± 1%    551MB/s ± 0%   +31.99%  (p=0.000 n=27+28)
Metro16-4       576MB/s ± 1%    977MB/s ± 0%   +69.67%  (p=0.000 n=28+30)
Metro40-4       729MB/s ± 0%   1368MB/s ± 1%   +87.65%  (p=0.000 n=28+29)
Metro64-4       852MB/s ± 1%   1852MB/s ± 0%  +117.27%  (p=0.000 n=30+30)
Metro1K-4      1.19GB/s ± 0%   4.94GB/s ± 2%  +314.76%  (p=0.000 n=29+27)
Metro8K-4      1.22GB/s ± 1%   5.34GB/s ± 3%  +336.66%  (p=0.000 n=29+30)
XXHash8-4       567MB/s ± 6%    609MB/s ± 0%    +7.50%  (p=0.000 n=30+26)
XXHash16-4      990MB/s ± 3%   1044MB/s ± 1%    +5.48%  (p=0.000 n=30+25)
XXHash40-4     1.40GB/s ± 0%   1.75GB/s ± 0%   +25.05%  (p=0.000 n=29+29)
XXHash64-4     1.93GB/s ± 1%   2.68GB/s ± 1%   +38.73%  (p=0.000 n=29+25)
XXHash1K-4     4.52GB/s ± 0%   8.65GB/s ± 1%   +91.40%  (p=0.000 n=29+29)
XXHash8K-4     4.89GB/s ± 0%  11.55GB/s ± 1%  +136.44%  (p=0.000 n=28+30)
Fasthash8-4     875MB/s ± 6%    914MB/s ± 3%    +4.45%  (p=0.000 n=28+30)
Fasthash16-4   1.48GB/s ± 4%   1.62GB/s ± 2%    +9.75%  (p=0.000 n=30+29)
Fasthash40-4   2.81GB/s ± 2%   2.90GB/s ± 1%    +3.30%  (p=0.000 n=30+29)
Fasthash64-4   3.62GB/s ± 0%   3.65GB/s ± 1%    +0.63%  (p=0.000 n=27+30)
Fasthash1K-4   5.82GB/s ± 0%   5.84GB/s ± 0%    +0.39%  (p=0.000 n=27+30)
Fasthash8K-4   6.21GB/s ± 1%   6.21GB/s ± 0%      ~     (p=0.562 n=28+30)
Highway8-4     6.34MB/s ± 1%  18.27MB/s ± 6%  +188.17%  (p=0.000 n=30+30)
Highway16-4    12.7MB/s ± 2%   36.9MB/s ± 1%  +191.36%  (p=0.000 n=26+27)
Highway40-4    26.9MB/s ± 2%   76.3MB/s ± 5%  +183.27%  (p=0.000 n=28+30)
Highway64-4    36.6MB/s ± 4%  104.6MB/s ± 3%  +185.46%  (p=0.000 n=30+29)
Highway1K-4     117MB/s ± 4%    345MB/s ± 3%  +193.69%  (p=0.000 n=30+30)
Highway8K-4     137MB/s ± 1%    397MB/s ± 3%  +189.65%  (p=0.000 n=28+29)
FNV8-4          196MB/s ± 4%    238MB/s ± 1%   +21.79%  (p=0.000 n=30+29)
FNV16-4         304MB/s ± 1%    382MB/s ± 1%   +25.42%  (p=0.000 n=29+30)
FNV40-4         435MB/s ± 1%    507MB/s ±25%   +16.64%  (p=0.000 n=29+30)
FNV64-4         498MB/s ± 1%    623MB/s ± 1%   +25.15%  (p=0.000 n=29+29)
FNV1K-4         624MB/s ± 5%    778MB/s ± 6%   +24.55%  (p=0.000 n=30+30)
FNV8K-4         649MB/s ± 1%    812MB/s ± 0%   +24.98%  (p=0.000 n=29+28)
